study,domain,sub_domain,source,table_name,name,label,has_skip_logic,sensitivity,plab_facet,plab_subfacet,alexsa_facet
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__baseb_005__l,"Baseball, Softball: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__basketb_002,Basketball: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__basketb_002__l,Basketball: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__basketb_004,"Basketball: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__basketb_004__l,"Basketball: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__basketb_005,"Basketball: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__basketb_005__l,"Basketball: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent; Longitudinal]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__bowl_002,Bowling: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__bowl_002__l,Bowling: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__bowl_004,"Bowling: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__bowl_005,"Bowling: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__box_002,Boxing: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__box_002__l,Boxing: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__box_004,"Boxing: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__box_005,"Boxing: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__cheer_002,Cheerleading: About how many days per week? [Parent],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__cheer_002__l,Cheerleading: About how many days per week? [Parent; Longitudinal],yes,not sensitive,hobbies/activities,not applicable,conventional organizations
Core,Physical Health,Physical Activity,Parent,ph_p_saiq,ph_p_saiq__cheer_004,"Cheerleading: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program at school? [Parent]",yes,not sensitive,hobbies/activities,not applicable,conventional organizations
